user,total_pos_rating,total_neg_rating,total_pos_pur,total_neg_pur
561,53989,12634,43709,22914
562,54026,12640,43740,22926
563,54112,12664,43829,22947
564,54312,12724,43981,23055
565,54334,12728,44006,23056
566,54563,12770,44167,23166
567,54578,12777,44170,23185
568,54814,12830,44359,23285
569,54817,12831,44361,23287
570,54863,12834,44409,23288
571,54923,12850,44465,23308
572,54923,12850,44465,23308
573,54961,12857,44503,23315
574,55036,12879,44559,23356
575,55206,12917,44690,23433
576,55207,12917,44690,23434
577,55226,12926,44716,23436
578,55250,12931,44744,23437
579,55545,12998,44980,23563
580,55584,13002,45018,23568
581,55628,13006,45045,23589
582,55641,13006,45055,23592
583,55782,13038,45156,23664
584,55907,13067,45307,23667
585,55934,13072,45337,23669
586,56091,13107,45448,23750
587,56091,13107,45448,23750
588,56097,13109,45449,23757
589,56188,13129,45528,23789
590,56452,13198,45741,23909
591,56652,13257,45906,24003
592,56942,13318,46126,24134
593,56948,13318,46130,24136
594,56975,13323,46149,24149
595,57024,13338,46202,24160
596,57281,13402,46412,24271
597,57306,13405,46423,24288
598,57379,13419,46507,24291
599,57380,13419,46508,24291
600,57713,13500,46782,24431
601,57735,13505,46808,24432
602,57750,13508,46820,24438
603,57784,13514,46851,24447
604,57807,13519,46867,24459
605,57823,13522,46875,24470
606,57871,13528,46916,24483
607,57891,13536,46932,24495
608,57905,13544,46950,24499
609,58198,13603,47192,24609
610,58281,13624,47259,24646
611,58362,13643,47316,24689
612,58386,13648,47344,24690
613,58386,13648,47344,24690
614,58395,13651,47346,24700
615,58414,13661,47373,24702
616,58621,13709,47527,24803
617,58788,13748,47652,24884
618,58915,13782,47737,24960
619,59026,13815,47834,25007
620,59077,13829,47882,25024
621,59137,13850,47947,25040
622,59140,13856,47950,25046
623,59155,13856,47953,25058
624,59181,13861,47976,25066
625,59220,13865,48014,25071
626,59275,13880,48069,25086
627,59302,13889,48081,25110
628,59330,13893,48113,25110
629,59451,13926,48205,25172
630,59684,13976,48368,25292
631,59991,14044,48611,25424
632,59998,14046,48612,25432
633,60025,14054,48632,25447
634,60027,14054,48633,25448
635,60055,14066,48663,25458
636,60097,14075,48698,25474
637,60311,14118,48853,25576
638,60314,14118,48853,25579
639,60319,14119,48854,25584
640,60347,14123,48886,25584
641,60369,14132,48913,25588
642,60369,14132,48913,25588
643,60389,14145,48923,25611
644,60402,14145,48925,25622
645,60403,14145,48925,25623
646,60443,14151,48950,25644
647,60488,14154,48995,25647
648,60502,14155,49004,25653
649,60811,14217,49227,25801
650,61012,14266,49409,25869
651,61016,14267,49411,25872
652,61025,14271,49412,25884
653,61236,14330,49593,25973
654,61242,14332,49594,25980
655,61502,14392,49808,26086
656,61786,14455,50023,26218
657,61917,14494,50186,26225
658,61931,14497,50195,26233
659,62152,14546,50384,26314
660,62191,14549,50422,26318
661,62233,14560,50473,26320
662,62525,14617,50694,26448
663,62525,14617,50694,26448
664,62819,14683,50946,26556
665,62829,14686,50957,26558
666,63026,14743,51109,26660
667,63029,14744,51111,26662
668,63052,14746,51135,26663
669,63052,14746,51135,26663
670,63084,14752,51170,26666
671,63086,14752,51171,26667
672,63097,14756,51180,26673
673,63143,14759,51228,26674
674,63154,14767,51232,26689
675,63224,14784,51303,26705
676,63230,14787,51304,26713
677,63431,14847,51468,26810
678,63433,14847,51469,26811
679,63441,14852,51472,26821
680,63448,14853,51474,26827
681,63673,14908,51669,26912
682,63706,14914,51701,26919
683,63975,14988,51908,27055
684,63979,14989,51909,27059
685,64220,15046,52099,27167
686,64244,15052,52129,27167
687,64449,15114,52282,27281
688,64454,15114,52286,27282
689,64478,15119,52314,27283
690,64681,15180,52474,27387
691,64682,15181,52475,27388
692,64924,15233,52653,27504
693,65122,15289,52811,27600
694,65360,15340,52981,27719
695,65374,15340,52992,27722
696,65383,15341,52995,27729
697,65512,15367,53099,27780
698,65526,15371,53111,27786
699,65720,15420,53282,27858
700,65960,15479,53464,27975
701,65987,15486,53482,27991
702,66003,15492,53499,27996
703,66045,15503,53549,27999
704,66055,15509,53558,28006
705,66139,15526,53622,28043
706,66150,15528,53631,28047
707,66164,15530,53637,28057
708,66191,15533,53653,28071
709,66217,15541,53672,28086
710,66260,15547,53712,28095
711,66537,15625,53953,28209
712,66554,15627,53960,28221
713,66562,15628,53964,28226
714,66591,15633,53995,28229
715,66746,15671,54124,28293
716,66800,15683,54183,28300
717,66826,15688,54189,28325
718,66836,15690,54194,28332
719,66892,15703,54236,28359
720,67151,15762,54428,28485
721,67337,15807,54580,28564
722,67345,15810,54584,28571
723,67345,15810,54584,28571
724,67346,15811,54584,28573
725,67363,15817,54600,28580
726,67364,15817,54601,28580
727,67410,15828,54634,28604
728,67504,15852,54701,28655
729,67511,15855,54706,28660
730,67530,15865,54733,28662
731,67596,15879,54796,28679
732,67861,15947,54992,28816
733,68119,16007,55187,28939
734,68130,16011,55196,28945
735,68131,16011,55196,28946
736,68167,16020,55232,28955
737,68299,16049,55340,29008
738,68332,16055,55373,29014
739,68346,16058,55386,29018
740,68360,16061,55394,29027
741,68371,16062,55400,29033
742,68383,16066,55403,29046
743,68634,16123,55584,29173
744,68667,16128,55610,29185
745,68706,16136,55643,29199
746,68719,16139,55645,29213
747,68742,16147,55662,29227
748,68744,16148,55663,29229
749,68782,16159,55688,29253
750,68836,16170,55746,29260
751,68881,16177,55789,29269
752,68945,16193,55864,29274
753,68948,16193,55866,29275
754,69145,16249,56023,29371
755,69393,16306,56263,29436
756,69420,16310,56283,29447
757,69572,16347,56407,29512
758,69657,16356,56479,29534
759,69672,16358,56484,29546
760,69941,16404,56674,29671
761,70117,16440,56796,29761
762,70125,16441,56803,29763
763,70270,16473,56900,29843
764,70306,16477,56937,29846
765,70359,16487,56986,29860
766,70379,16493,56997,29875
767,70482,16505,57068,29919
768,70702,16560,57233,30029
769,70714,16563,57240,30037
770,70738,16568,57268,30038
771,71006,16621,57462,30165
772,71293,16677,57658,30312
773,71428,16725,57776,30377
774,71435,16726,57784,30377
775,71599,16764,57902,30461
776,71613,16769,57907,30475
777,71633,16779,57935,30477
778,71655,16785,57956,30484
779,71680,16788,57977,30491
780,71752,16809,58056,30505
781,71759,16809,58059,30509
782,71918,16844,58179,30583
783,71919,16845,58179,30585
784,72112,16900,58342,30670
785,72280,16942,58481,30741
786,72315,16949,58511,30753
787,72498,16993,58655,30836
788,72533,16993,58687,30839
789,72582,17005,58727,30860
790,72609,17010,58742,30877
791,72631,17012,58765,30878
792,72649,17018,58775,30892
793,72651,17018,58777,30892
794,72677,17025,58796,30906
795,72815,17058,58912,30961
796,72834,17068,58939,30963
797,72870,17072,58975,30967
798,72872,17073,58976,30969
799,72872,17073,58976,30969
800,72884,17075,58983,30976
801,72893,17078,58991,30980
802,72982,17093,59048,31027
803,73084,17111,59147,31048
804,73098,17111,59148,31061
805,73154,17120,59210,31064
806,73402,17168,59408,31162
807,73430,17173,59421,31182
808,73483,17187,59458,31212
809,73498,17190,59464,31224
810,73798,17251,59693,31356
811,73825,17255,59713,31367
812,73829,17255,59716,31368
813,74067,17306,59900,31473
814,74094,17311,59923,31482
815,74143,17314,59974,31483
816,74457,17391,60206,31642
